Benchmark,DE_Time_Taken,1_features_mcc,1_features_mcc_std,1_features_precision,1_features_precision_std,1_features_recall,1_features_recall_std,1_features_f1,1_features_f1_std,3_features_mcc,3_features_mcc_std,3_features_precision,3_features_precision_std,3_features_recall,3_features_recall_std,3_features_f1,3_features_f1_std,10_features_mcc,10_features_mcc_std,10_features_precision,10_features_precision_std,10_features_recall,10_features_recall_std,10_features_f1,10_features_f1_std,20_features_mcc,20_features_mcc_std,20_features_precision,20_features_precision_std,20_features_recall,20_features_recall_std,20_features_f1,20_features_f1_std
T_BRCA_vs_rest,0.4982702732,0.6276407779,0.01395572767,0.5546189633,0.01622509218,0.7467647059,0.0168162263,0.6363491009,0.01363480891,0.5744468908,0.01229333379,0.3842492336,0.01499766145,0.9238235294,0.01165017784,0.54253443,0.01471530029,0.5884589556,0.009229103408,0.3986666646,0.01182571186,0.9297058824,0.01194349441,0.5578879806,0.0111119647,0.8513617543,0.009880344963,0.7538785515,0.01920011436,0.9752941176,0.006859943406,0.850217269,0.01096074931
N_Breast_vs_rest,0.4690020084,0.4427008825,0.03191949207,0.3390935675,0.02387335143,0.6157303371,0.04353116995,0.4372021015,0.02976282144,0.3796610473,0.0115476533,0.1903319101,0.006200880427,0.8426966292,0.02370227316,0.3104931979,0.009323790457,0.3776209881,0.009014984185,0.1856521081,0.003903562919,0.8561797753,0.02386152874,0.3051119467,0.00620233822,0.5637872905,0.01108137893,0.3345805995,0.01384669179,0.9904494382,0.007128414349,0.4999918912,0.0147667792
T_KIRC_vs_rest,0.4449527264,0.5441004535,0.0146005758,0.3593990814,0.01589998109,0.8582822086,0.0184967036,0.506404303,0.01639164372,0.6655954504,0.01286843349,0.4877596542,0.01552577726,0.9288343558,0.01627791308,0.6394494074,0.01406998289,0.6822185345,0.01684283545,0.5025913346,0.02108363613,0.945398773,0.01328613977,0.656043508,0.01900488421,0.6804911763,0.0198866376,0.4970334582,0.03072354773,0.9521472393,0.01916625687,0.6523775776,0.02428819913
N_Kidney_vs_rest,0.4258794785,0.5889362246,0.01696560366,0.3546803817,0.02089351911,0.9926470588,0.007352941176,0.5222338499,0.02225058584,0.8668714425,0.02083135033,0.7627356844,0.03653932889,0.9882352941,0.005882352941,0.8604750897,0.02289622726,0.8852058771,0.01812056528,0.790244879,0.03310420315,0.9941176471,0.007204381596,0.8801069878,0.01996467101,0.8712034311,0.02650870273,0.7709584949,0.05241247383,0.9882352941,0.01100487467,0.8649611265,0.02976124064
T_LUAD_vs_rest,0.4663872719,0.4136423739,0.01537281321,0.2381312294,0.0121391637,0.7773006135,0.01960312308,0.3644602086,0.01546438202,0.5177734898,0.009127704995,0.2895875557,0.008001218121,0.9711656442,0.008697820171,0.4460939745,0.01000304915,0.5739616081,0.006774587483,0.349412478,0.007182951888,0.9773006135,0.007284872446,0.5147313409,0.007955189315,0.6455020544,0.01287696869,0.435613967,0.01746667433,0.9809815951,0.008434188396,0.6030744624,0.01631404332
N_Lung_vs_rest,0.4679729939,0.6833786625,0.009027542621,0.4899619321,0.01300402224,0.9808695652,0.008519964323,0.6533582023,0.0110640691,0.8626128463,0.01510765678,0.7537556989,0.02595485329,0.9960869565,0.003043478261,0.8578862072,0.01647175514,0.9485346689,0.008032761314,0.9034897947,0.0143951066,0.9986956522,0.001992424215,0.9486517611,0.008186437481,0.964750676,0.007482560348,0.9354147053,0.01510912527,0.9969565217,0.00278396706,0.9651316881,0.007517255437
T_UCEC_vs_rest,0.4470024109,0.3165635386,0.005444000859,0.131640918,0.003194684614,0.8843373494,0.02924014723,0.2291023739,0.004345472297,0.6236679143,0.0181914136,0.4254491495,0.02211183595,0.9409638554,0.01394679145,0.5856173463,0.02143959555,0.6271165375,0.01201365046,0.4252399167,0.01583123967,0.9512048193,0.01188137526,0.5875062124,0.01489743653,0.726544294,0.01464284164,0.549227001,0.02023661575,0.9771084337,0.007991866965,0.7029816731,0.01693229778
N_Endometrial_vs_rest,0.4218738079,0.05740200174,0.01764819417,0.006097868596,0.002058740531,0.6571428571,0.1309307341,0.01208073148,0.004061882398,0.05619185245,0.01930640426,0.005662869644,0.002116619398,0.6857142857,0.1538618516,0.0112306055,0.004181566221,0.2346566472,0.02108154259,0.06016905306,0.005432956309,0.9285714286,0.09583148475,0.1129754118,0.01008232134,0.5180065879,0.05724335501,0.3471558704,0.06042540836,0.7857142857,0.1151751107,0.4757569531,0.06143874378
T_THCA_vs_rest,0.4509608746,0.4496424252,0.02070773091,0.2639649456,0.01443584793,0.8155844156,0.04170024509,0.3985521604,0.01877550897,0.6622490904,0.01771931747,0.5155690545,0.0162642285,0.8688311688,0.02871862907,0.646901476,0.01687199906,0.7406813099,0.02446023821,0.5595252496,0.03806718028,0.9954545455,0.005071590699,0.7155377648,0.02999110845,0.8556796952,0.01560006739,0.7449004178,0.03119839192,0.9896103896,0.008808220757,0.8494992029,0.0178556022
N_Thyroid_vs_rest,0.4543287754,0.7634285439,0.01114152143,0.6034423521,0.01585446916,0.9834782609,0.006679257172,0.7478327439,0.01256481559,0.8888813352,0.01119719336,0.8046692638,0.02068296158,0.9886956522,0.005217391304,0.8870691012,0.01199968496,0.8972371562,0.01166431634,0.8179466614,0.02135126487,0.9904347826,0.005070392952,0.8957925822,0.01236656124,0.9131191305,0.01014085583,0.8458774004,0.02053860456,0.9908695652,0.006579454761,0.9124723342,0.01064336147
T_PRAD_vs_rest,0.4440484047,0.6443751336,0.01634337928,0.4438227637,0.01899463063,0.9578947368,0.01068952422,0.6063881979,0.01881877378,0.8391120353,0.01430845938,0.7102200926,0.02445412289,0.9986842105,0.002631578947,0.8298477686,0.01631104149,0.8113850382,0.01738142648,0.6643526358,0.02751118255,1,0,0.7979990604,0.02011839043,0.8270922742,0.02591676833,0.6919556283,0.04439744437,0.9973684211,0.004363979987,0.8161839429,0.02963939966
N_Prostate_vs_rest,0.4401209354,0.5820219237,0.01369954143,0.3645885558,0.01445779535,0.9484210526,0.01789473684,0.5265161271,0.01562688178,0.5617914278,0.01535078782,0.3382388311,0.01612976132,0.9547368421,0.01826247534,0.4992833808,0.01777323514,0.6091430456,0.01108642588,0.3854364453,0.01284267992,0.98,0.008743814593,0.5531458283,0.01342488282,0.6652001091,0.01592757977,0.4608043581,0.02378661456,0.9736842105,0.01078626396,0.625108037,0.02054726317
