,method,mcc,precision,f1_score,recall,label_vs_rest,nb_genes,model
0,yomix,0.9534748760554619,0.9147727272727273,0.9554896142433235,1.0,3_vs_rest,1,svm
1,yomix,0.9357495280809215,0.8888888888888888,0.9384164222873901,0.9937888198757764,3_vs_rest,1,svm
2,yomix,0.9337022537175661,0.8797814207650273,0.936046511627907,1.0,3_vs_rest,1,svm
3,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,2,svm
4,yomix,0.9357495280809215,0.8888888888888888,0.9384164222873901,0.9937888198757764,3_vs_rest,2,svm
5,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,2,svm
6,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,3,svm
7,yomix,0.9357495280809215,0.8888888888888888,0.9384164222873901,0.9937888198757764,3_vs_rest,3,svm
8,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,3,svm
9,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,4,svm
10,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,4,svm
11,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,4,svm
12,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,5,svm
13,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,5,svm
14,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,5,svm
15,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,6,svm
16,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,6,svm
17,yomix,0.9274612091947682,0.8743169398907104,0.9302325581395349,0.9937888198757764,3_vs_rest,6,svm
18,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,7,svm
19,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,7,svm
20,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,7,svm
21,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,8,svm
22,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,8,svm
23,yomix,0.9274612091947682,0.8743169398907104,0.9302325581395349,0.9937888198757764,3_vs_rest,8,svm
24,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,9,svm
25,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,9,svm
26,yomix,0.9274612091947682,0.8743169398907104,0.9302325581395349,0.9937888198757764,3_vs_rest,9,svm
27,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,10,svm
28,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,10,svm
29,yomix,0.9274612091947682,0.8743169398907104,0.9302325581395349,0.9937888198757764,3_vs_rest,10,svm
30,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,11,svm
31,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,11,svm
32,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,11,svm
33,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,12,svm
34,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,12,svm
35,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,12,svm
36,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,13,svm
37,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,13,svm
38,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,13,svm
39,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,14,svm
40,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,14,svm
41,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,14,svm
42,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,15,svm
43,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,15,svm
44,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,15,svm
45,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,16,svm
46,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,16,svm
47,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,16,svm
48,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,17,svm
49,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,17,svm
50,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,17,svm
51,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,18,svm
52,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,18,svm
53,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,18,svm
54,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,19,svm
55,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,19,svm
56,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,19,svm
57,yomix,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,20,svm
58,yomix,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,20,svm
59,yomix,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,20,svm
60,cosg,0.8327356307779973,0.8068181818181818,0.8427299703264095,0.8819875776397516,3_vs_rest,1,svm
61,cosg,0.8414158200029056,0.8055555555555556,0.8504398826979472,0.9006211180124224,3_vs_rest,1,svm
62,cosg,0.8288379922591702,0.7944444444444444,0.8387096774193549,0.8881987577639752,3_vs_rest,1,svm
63,cosg,0.8233114164167464,0.7066666666666667,0.8238341968911918,0.9875776397515528,3_vs_rest,2,svm
64,cosg,0.8249752946291292,0.7048458149779736,0.8247422680412371,0.9937888198757764,3_vs_rest,2,svm
65,cosg,0.7872322641007324,0.6556016597510373,0.7860696517412935,0.9813664596273292,3_vs_rest,2,svm
66,cosg,0.9500220637251378,0.9142857142857143,0.9523809523809523,0.9937888198757764,3_vs_rest,3,svm
67,cosg,0.9266916324934567,0.8784530386740331,0.9298245614035088,0.9875776397515528,3_vs_rest,3,svm
68,cosg,0.9294606142090538,0.8833333333333333,0.9325513196480938,0.9875776397515528,3_vs_rest,3,svm
69,cosg,0.952948313903282,0.9195402298850575,0.9552238805970149,0.9937888198757764,3_vs_rest,4,svm
70,cosg,0.9252282092868465,0.8870056497175142,0.9289940828402367,0.9751552795031055,3_vs_rest,4,svm
71,cosg,0.9259470254894725,0.88268156424581,0.9294117647058824,0.9813664596273292,3_vs_rest,4,svm
72,cosg,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,5,svm
73,cosg,0.9357495280809215,0.8888888888888888,0.9384164222873901,0.9937888198757764,3_vs_rest,5,svm
74,cosg,0.9294606142090538,0.8833333333333333,0.9325513196480938,0.9875776397515528,3_vs_rest,5,svm
75,cosg,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,6,svm
76,cosg,0.9357495280809215,0.8888888888888888,0.9384164222873901,0.9937888198757764,3_vs_rest,6,svm
77,cosg,0.9266916324934567,0.8784530386740331,0.9298245614035088,0.9875776397515528,3_vs_rest,6,svm
78,cosg,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,7,svm
79,cosg,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,7,svm
80,cosg,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,7,svm
81,cosg,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,8,svm
82,cosg,0.9392372741612083,0.8895027624309392,0.9415204678362573,1.0,3_vs_rest,8,svm
83,cosg,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,8,svm
84,cosg,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,9,svm
85,cosg,0.9322521715332933,0.888268156424581,0.9352941176470588,0.9875776397515528,3_vs_rest,9,svm
86,cosg,0.9274612091947682,0.8743169398907104,0.9302325581395349,0.9937888198757764,3_vs_rest,9,svm
87,cosg,0.952948313903282,0.9195402298850575,0.9552238805970149,0.9937888198757764,3_vs_rest,10,svm
88,cosg,0.9322521715332933,0.888268156424581,0.9352941176470588,0.9875776397515528,3_vs_rest,10,svm
89,cosg,0.9302017821159279,0.8791208791208791,0.9329446064139941,0.9937888198757764,3_vs_rest,10,svm
90,cosg,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,11,svm
91,cosg,0.9322521715332933,0.888268156424581,0.9352941176470588,0.9875776397515528,3_vs_rest,11,svm
92,cosg,0.9274612091947682,0.8743169398907104,0.9302325581395349,0.9937888198757764,3_vs_rest,11,svm
93,cosg,0.9563935695067247,0.92,0.9583333333333334,1.0,3_vs_rest,12,svm
