,method,mcc,precision,f1_score,recall,label_vs_rest,nb_genes,model
0,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,1,svm
1,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,1,svm
2,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,1,svm
3,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,1,svm
4,yomix,1.0,1.0,1.0,1.0,2_vs_rest,1,svm
5,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,1,svm
6,yomix,1.0,1.0,1.0,1.0,2_vs_rest,1,svm
7,yomix,1.0,1.0,1.0,1.0,2_vs_rest,1,svm
8,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,1,svm
9,yomix,1.0,1.0,1.0,1.0,2_vs_rest,1,svm
10,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,2,svm
11,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,2,svm
12,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,2,svm
13,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,2,svm
14,yomix,1.0,1.0,1.0,1.0,2_vs_rest,2,svm
15,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,2,svm
16,yomix,1.0,1.0,1.0,1.0,2_vs_rest,2,svm
17,yomix,1.0,1.0,1.0,1.0,2_vs_rest,2,svm
18,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,2,svm
19,yomix,1.0,1.0,1.0,1.0,2_vs_rest,2,svm
20,yomix,0.9561124114852952,0.95,0.9743589743589743,1.0,2_vs_rest,3,svm
21,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,3,svm
22,yomix,0.9561124114852952,0.95,0.9743589743589743,1.0,2_vs_rest,3,svm
23,yomix,0.9668496185332512,0.9620253164556962,0.9806451612903225,1.0,2_vs_rest,3,svm
24,yomix,0.9668496185332512,0.9620253164556962,0.9806451612903225,1.0,2_vs_rest,3,svm
25,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,3,svm
26,yomix,1.0,1.0,1.0,1.0,2_vs_rest,3,svm
27,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,3,svm
28,yomix,0.9668496185332512,0.9620253164556962,0.9806451612903225,1.0,2_vs_rest,3,svm
29,yomix,1.0,1.0,1.0,1.0,2_vs_rest,3,svm
30,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,4,svm
31,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,4,svm
32,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,4,svm
33,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,4,svm
34,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,4,svm
35,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,4,svm
36,yomix,1.0,1.0,1.0,1.0,2_vs_rest,4,svm
37,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,4,svm
38,yomix,0.9668496185332512,0.9620253164556962,0.9806451612903225,1.0,2_vs_rest,4,svm
39,yomix,1.0,1.0,1.0,1.0,2_vs_rest,4,svm
40,yomix,0.9662366131031147,0.974025974025974,0.9803921568627451,0.9868421052631579,2_vs_rest,5,svm
41,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,5,svm
42,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,5,svm
43,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,5,svm
44,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,5,svm
45,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,5,svm
46,yomix,1.0,1.0,1.0,1.0,2_vs_rest,5,svm
47,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,5,svm
48,yomix,0.9552259178441255,0.9615384615384616,0.974025974025974,0.9868421052631579,2_vs_rest,5,svm
49,yomix,1.0,1.0,1.0,1.0,2_vs_rest,5,svm
50,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,6,svm
51,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,6,svm
52,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,6,svm
53,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,6,svm
54,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,6,svm
55,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,6,svm
56,yomix,1.0,1.0,1.0,1.0,2_vs_rest,6,svm
57,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,6,svm
58,yomix,0.9668496185332512,0.9620253164556962,0.9806451612903225,1.0,2_vs_rest,6,svm
59,yomix,1.0,1.0,1.0,1.0,2_vs_rest,6,svm
60,yomix,0.9662366131031147,0.974025974025974,0.9803921568627451,0.9868421052631579,2_vs_rest,7,svm
61,yomix,0.9661108679437057,0.9866666666666667,0.9801324503311258,0.9736842105263158,2_vs_rest,7,svm
62,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,7,svm
63,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,7,svm
64,yomix,0.9661108679437057,0.9866666666666667,0.9801324503311258,0.9736842105263158,2_vs_rest,7,svm
65,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,7,svm
66,yomix,1.0,1.0,1.0,1.0,2_vs_rest,7,svm
67,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,7,svm
68,yomix,0.9552259178441255,0.9615384615384616,0.974025974025974,0.9868421052631579,2_vs_rest,7,svm
69,yomix,1.0,1.0,1.0,1.0,2_vs_rest,7,svm
70,yomix,0.9548162859980139,0.9736842105263158,0.9736842105263158,0.9736842105263158,2_vs_rest,8,svm
71,yomix,0.9661108679437057,0.9866666666666667,0.9801324503311258,0.9736842105263158,2_vs_rest,8,svm
72,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,8,svm
73,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,8,svm
74,yomix,0.9661108679437057,0.9866666666666667,0.9801324503311258,0.9736842105263158,2_vs_rest,8,svm
75,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,8,svm
76,yomix,1.0,1.0,1.0,1.0,2_vs_rest,8,svm
77,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,8,svm
78,yomix,0.9552259178441255,0.9615384615384616,0.974025974025974,0.9868421052631579,2_vs_rest,8,svm
79,yomix,1.0,1.0,1.0,1.0,2_vs_rest,8,svm
80,yomix,0.9548162859980139,0.9736842105263158,0.9736842105263158,0.9736842105263158,2_vs_rest,9,svm
81,yomix,0.9661108679437057,0.9866666666666667,0.9801324503311258,0.9736842105263158,2_vs_rest,9,svm
82,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,9,svm
83,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,9,svm
84,yomix,0.9661108679437057,0.9866666666666667,0.9801324503311258,0.9736842105263158,2_vs_rest,9,svm
85,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,9,svm
86,yomix,1.0,1.0,1.0,1.0,2_vs_rest,9,svm
87,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,9,svm
88,yomix,0.9552259178441255,0.9615384615384616,0.974025974025974,0.9868421052631579,2_vs_rest,9,svm
89,yomix,1.0,1.0,1.0,1.0,2_vs_rest,9,svm
90,yomix,0.9548162859980139,0.9736842105263158,0.9736842105263158,0.9736842105263158,2_vs_rest,10,svm
91,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,10,svm
92,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,10,svm
93,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,10,svm
94,yomix,0.9775750720238805,1.0,0.9866666666666667,0.9736842105263158,2_vs_rest,10,svm
95,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,10,svm
96,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,10,svm
97,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,10,svm
98,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,10,svm
99,yomix,1.0,1.0,1.0,1.0,2_vs_rest,10,svm
100,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,11,svm
101,yomix,0.9662366131031147,0.974025974025974,0.9803921568627451,0.9868421052631579,2_vs_rest,11,svm
102,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,11,svm
103,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,11,svm
104,yomix,0.9775750720238805,1.0,0.9866666666666667,0.9736842105263158,2_vs_rest,11,svm
105,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,11,svm
106,yomix,1.0,1.0,1.0,1.0,2_vs_rest,11,svm
107,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,11,svm
108,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,11,svm
109,yomix,1.0,1.0,1.0,1.0,2_vs_rest,11,svm
110,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,12,svm
111,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,12,svm
112,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,12,svm
113,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,12,svm
114,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,12,svm
115,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,12,svm
116,yomix,1.0,1.0,1.0,1.0,2_vs_rest,12,svm
117,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,12,svm
118,yomix,0.9777396600155358,0.9743589743589743,0.987012987012987,1.0,2_vs_rest,12,svm
119,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,12,svm
120,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,13,svm
121,yomix,0.9774081429990069,0.9868421052631579,0.9868421052631579,0.9868421052631579,2_vs_rest,13,svm
122,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,13,svm
123,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,13,svm
124,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,13,svm
125,yomix,0.988746318248257,1.0,0.9933774834437086,0.9868421052631579,2_vs_rest,13,svm
126,yomix,1.0,1.0,1.0,1.0,2_vs_rest,13,svm
127,yomix,0.9887879164609971,0.987012987012987,0.9934640522875817,1.0,2_vs_rest,13,svm
