,method,mcc,precision,f1_score,recall,label_vs_rest,nb_genes,model
0,yomix,0.5647754988124567,0.43333333333333335,0.5909090909090909,0.9285714285714286,CD8 T_vs_rest,1,svm
1,yomix,0.549431469246722,0.435,0.5838926174496645,0.8877551020408163,CD8 T_vs_rest,1,svm
2,yomix,0.5317797686283785,0.425,0.5704697986577181,0.8673469387755102,CD8 T_vs_rest,1,svm
3,yomix,0.6384564161371632,0.5170454545454546,0.6642335766423357,0.9285714285714286,CD8 T_vs_rest,2,svm
4,yomix,0.5923399815847197,0.48863636363636365,0.6277372262773723,0.8775510204081632,CD8 T_vs_rest,2,svm
5,yomix,0.6210810033993498,0.535031847133758,0.6588235294117647,0.8571428571428571,CD8 T_vs_rest,2,svm
6,yomix,0.6475529037247052,0.5393939393939394,0.6768060836501901,0.9081632653061225,CD8 T_vs_rest,3,svm
7,yomix,0.6567944649457808,0.5569620253164557,0.6875,0.8979591836734694,CD8 T_vs_rest,3,svm
8,yomix,0.641047979920904,0.5734265734265734,0.6804979253112033,0.8367346938775511,CD8 T_vs_rest,3,svm
9,yomix,0.6229180297061602,0.5146198830409356,0.654275092936803,0.8979591836734694,CD8 T_vs_rest,4,svm
10,yomix,0.6499357307091315,0.554140127388535,0.6823529411764706,0.8877551020408163,CD8 T_vs_rest,4,svm
11,yomix,0.6012653653913358,0.5333333333333333,0.6451612903225806,0.8163265306122449,CD8 T_vs_rest,4,svm
12,yomix,0.6229180297061602,0.5146198830409356,0.654275092936803,0.8979591836734694,CD8 T_vs_rest,5,svm
13,yomix,0.647199149955796,0.5506329113924051,0.6796875,0.8877551020408163,CD8 T_vs_rest,5,svm
14,yomix,0.5958194852315103,0.5263157894736842,0.64,0.8163265306122449,CD8 T_vs_rest,5,svm
15,yomix,0.6279027175953785,0.5207100591715976,0.6591760299625468,0.8979591836734694,CD8 T_vs_rest,6,svm
16,yomix,0.6697695821140971,0.58,0.7016129032258065,0.8877551020408163,CD8 T_vs_rest,6,svm
17,yomix,0.6068080625370849,0.5405405405405406,0.6504065040650406,0.8163265306122449,CD8 T_vs_rest,6,svm
